name,latitude,longitude,google_id,attributes,popular_times
Villa Cecilia Gardens,41.39374957203114,2.121963830470535,ChIJhY4GEkOYpBIRDbdikQ65B1c,"[""establishment"", ""park"", ""point_of_interest"", ""tourist_attraction""]",
Palau de la Música Catalana,41.38736310291296,2.1751754135417323,ChIJQQSrd_qipBIRQ2xzarVkqn8,"[""establishment"", ""point_of_interest"", ""tourist_attraction""]",
Port Olímpic,41.38772238063312,2.199282061005833,ChIJJbJqxQyjpBIRaVK4zTyeL6c,"[""establishment"", ""point_of_interest""]",
Jardins de Salvador Espriu,41.39768032787045,2.158061333032838,ChIJ_TffNgCjpBIRQGEGsY27B4I,"[""establishment"", ""park"", ""point_of_interest""]",
Centre Cívic Casa del Rellotge,41.35757415322748,2.141406028389017,ChIJLzgwQKGYpBIRRuUtOgYqFVI,"[""establishment"", ""point_of_interest""]",
Inout Hostel,41.42206372379852,2.101812736653692,ChIJF8CmjteZpBIRx__Xx24wSHs,"[""establishment"", ""lodging"", ""point_of_interest""]",
Drogueria Rovira,41.39694983975115,2.14476287679332,ChIJ5ab8-XWYpBIRhKro7ZYyvYc,"[""establishment"", ""point_of_interest"", ""store""]",
Centre Cívic Sarrià,41.39390619967619,2.1211872573336934,ChIJRwyTb0OYpBIRtoVNjFUtdfg,"[""establishment"", ""point_of_interest""]",
Club Natació Catalunya,41.41535438536336,2.158160977129535,ChIJCUd2frGipBIRo-NN_4VJVuc,"[""establishment"", ""gym"", ""health"", ""point_of_interest""]",
Consorci Mercat de les Flors - Centre de les Arts en Moviment,41.370538264069474,2.157271883570921,ChIJ8R2Fj2-ipBIRv5mvCZ4t5Ow,"[""establishment"", ""point_of_interest""]",
Círculo Ecuestre,41.395763940464285,2.1540111781345668,ChIJSZwhGpqipBIRXM7JVq0sXqQ,"[""establishment"", ""point_of_interest""]",
Torre de Comunicacions de Montjuïc,41.364786605041445,2.1516565451460616,ChIJ2QYBkHOipBIRJVX9qG8lbiM,"[""establishment"", ""point_of_interest"", ""tourist_attraction""]",
Centre Cívic Torre Llobeta,41.42693150965028,2.173966250593847,ChIJFxLB7zG9pBIR0HgNnv-Fs-0,"[""establishment"", ""point_of_interest""]",
